Household_ID,Upazila,CVI_Score,Ego_Network_Size,Shock_Experienced,Migration_Intent
1,Assasuni,0.637769939325793,4,0,0
2,Satkhira Sadar,0.25586613263297014,5,0,0
3,Debhata,0.45094187538146124,5,0,0
4,Kaliganj,0.5725114840973385,4,1,0
5,Shyamnagar,0.8809841721792175,3,1,1
6,Shyamnagar,0.8588175050066076,3,0,0
7,Shyamnagar,0.8638414846776779,3,1,1
8,Tala,0.2988873912191447,5,0,0
9,Kaliganj,0.504953521240286,4,1,0
10,Debhata,0.39341374454647104,5,0,0
11,Shyamnagar,0.7931814162729404,3,0,0
12,Satkhira Sadar,0.31827352111953056,5,0,0
13,Debhata,0.46160890095299195,5,1,0
14,Shyamnagar,0.7659140217052759,3,0,0
15,Shyamnagar,0.8658362758773532,3,1,1
16,Shyamnagar,0.89878724761235,3,0,0
17,Assasuni,0.6370863017691,4,1,0
18,Assasuni,0.6951917845828944,4,1,0
19,Assasuni,0.7473232446382063,4,1,0
20,Shyamnagar,0.7650918967878698,3,1,1
21,Kaliganj,0.5676388374145576,4,0,0
22,Shyamnagar,0.8046023511058826,3,1,0
23,Shyamnagar,0.8986594293064796,3,1,0
24,Assasuni,0.7556587367748051,3,1,0
25,Assasuni,0.7516399733670152,3,1,0
26,Debhata,0.39113213249861956,5,0,0
27,Shyamnagar,0.889306397648397,3,0,0
28,Assasuni,0.7366824097802606,4,1,0
29,Kaliganj,0.5146740662540558,4,1,0
30,Shyamnagar,0.8843373211226017,3,1,1
31,Kaliganj,0.4751810688601689,5,0,1
32,Shyamnagar,0.849440481772308,3,1,1
33,Shyamnagar,0.7945013255931554,3,1,1
34,Satkhira Sadar,0.19687936400881903,6,1,0
35,Satkhira Sadar,0.19077344822808928,6,0,0
36,Debhata,0.42444331638172095,5,0,0
37,Assasuni,0.6609812445652099,4,1,0
38,Shyamnagar,0.8687150157293142,3,1,0
39,Kaliganj,0.4791498877118519,5,1,0
40,Assasuni,0.6572935506745915,4,1,0
41,Shyamnagar,0.8409236938563006,3,1,1
42,Assasuni,0.7286084747258446,4,1,0
43,Shyamnagar,0.8078128754398105,3,1,1
44,Tala,0.2676247927011813,5,0,0
45,Shyamnagar,0.8928966622354281,3,1,1
46,Kaliganj,0.5562208463455226,4,1,0
47,Assasuni,0.644943921213045,4,0,0
48,Assasuni,0.6136601172334807,4,0,0
49,Assasuni,0.7405148310851395,4,1,1
50,Shyamnagar,0.7631904116275581,3,1,1
51,Satkhira Sadar,0.30245823417578793,5,0,0
52,Debhata,0.3993405701040818,5,1,0
53,Satkhira Sadar,0.31146947779180545,5,0,0
54,Tala,0.29182965300831315,5,0,0
